MonthYear,Negative,Neutral,Positive,MedianSentiment,PercentageNegative,PercentageNeutral,PercentagePositive,Date,TotalSentiments
2013-09,110.0,455.0,125.0,Neutral,15.942028985507244,65.94202898550725,18.115942028985508,2013-09,690.0
2013-10,157.0,522.0,124.0,Neutral,19.551681195516814,65.00622665006227,15.442092154420923,2013-10,803.0
2013-11,166.0,504.0,127.0,Neutral,20.82810539523212,63.237139272271015,15.934755332496863,2013-11,797.0
2013-12,128.0,402.0,97.0,Neutral,20.414673046251995,64.11483253588517,15.47049441786284,2013-12,627.0
2014-01,158.0,458.0,153.0,Neutral,20.54616384915475,59.557867360208064,19.89596879063719,2014-01,769.0
2014-02,110.0,405.0,95.0,Neutral,18.0327868852459,66.39344262295081,15.573770491803279,2014-02,610.0
2014-03,116.0,472.0,84.0,Neutral,17.261904761904763,70.23809523809523,12.5,2014-03,672.0
2014-04,145.0,422.0,103.0,Neutral,21.641791044776117,62.98507462686567,15.37313432835821,2014-04,670.0
2014-05,145.0,473.0,95.0,Neutral,20.336605890603085,66.33941093969145,13.32398316970547,2014-05,713.0
2014-06,116.0,438.0,102.0,Neutral,17.682926829268293,66.76829268292683,15.548780487804878,2014-06,656.0
2014-07,135.0,441.0,130.0,Neutral,19.121813031161473,62.46458923512748,18.413597733711047,2014-07,706.0
2014-08,129.0,360.0,88.0,Neutral,22.357019064124785,62.391681109185434,15.251299826689774,2014-08,577.0
2014-09,112.0,380.0,78.0,Neutral,19.649122807017545,66.66666666666666,13.684210526315791,2014-09,570.0
2014-10,144.0,389.0,74.0,Neutral,23.72322899505766,64.08566721581549,12.191103789126853,2014-10,607.0
2014-11,117.0,393.0,81.0,Neutral,19.796954314720814,66.49746192893402,13.705583756345177,2014-11,591.0
2014-12,104.0,334.0,63.0,Neutral,20.758483033932134,66.66666666666666,12.574850299401197,2014-12,501.0
2015-01,135.0,370.0,74.0,Neutral,23.316062176165804,63.903281519861835,12.780656303972366,2015-01,579.0
2015-02,82.0,401.0,59.0,Neutral,15.129151291512915,73.98523985239852,10.885608856088561,2015-02,542.0
2015-03,84.0,428.0,72.0,Neutral,14.383561643835616,73.28767123287672,12.32876712328767,2015-03,584.0
2015-04,99.0,364.0,62.0,Neutral,18.857142857142858,69.33333333333334,11.80952380952381,2015-04,525.0
2015-05,104.0,362.0,82.0,Neutral,18.97810218978102,66.05839416058394,14.963503649635038,2015-05,548.0
2015-06,99.0,431.0,79.0,Neutral,16.25615763546798,70.77175697865353,12.97208538587849,2015-06,609.0
2015-07,101.0,427.0,52.0,Neutral,17.413793103448274,73.62068965517241,8.96551724137931,2015-07,580.0
2015-08,116.0,345.0,52.0,Neutral,22.612085769980506,67.2514619883041,10.1364522417154,2015-08,513.0
2015-09,118.0,364.0,62.0,Neutral,21.691176470588236,66.91176470588235,11.397058823529411,2015-09,544.0
2015-10,134.0,440.0,67.0,Neutral,20.904836193447736,68.64274570982839,10.452418096723868,2015-10,641.0
2015-11,135.0,393.0,64.0,Neutral,22.804054054054053,66.38513513513513,10.81081081081081,2015-11,592.0
2015-12,127.0,345.0,63.0,Neutral,23.738317757009344,64.48598130841121,11.775700934579438,2015-12,535.0
2016-01,181.0,375.0,84.0,Neutral,28.281250000000004,58.59375,13.125,2016-01,640.0
2016-02,149.0,388.0,53.0,Neutral,25.254237288135595,65.76271186440678,8.983050847457626,2016-02,590.0
2016-03,127.0,398.0,60.0,Neutral,21.70940170940171,68.03418803418803,10.256410256410255,2016-03,585.0
2016-04,124.0,422.0,64.0,Neutral,20.327868852459016,69.18032786885246,10.491803278688524,2016-04,610.0
2016-05,122.0,412.0,63.0,Neutral,20.435510887772192,69.01172529313233,10.552763819095476,2016-05,597.0
2016-06,118.0,398.0,62.0,Neutral,20.415224913494807,68.85813148788927,10.726643598615917,2016-06,578.0
2016-07,131.0,345.0,53.0,Neutral,24.763705103969755,65.21739130434783,10.01890359168242,2016-07,529.0
2016-08,103.0,352.0,48.0,Neutral,20.47713717693837,69.98011928429423,9.542743538767395,2016-08,503.0
2016-09,128.0,375.0,53.0,Neutral,23.021582733812952,67.44604316546763,9.532374100719425,2016-09,556.0
2016-10,138.0,387.0,55.0,Neutral,23.79310344827586,66.72413793103448,9.482758620689655,2016-10,580.0
2016-11,103.0,422.0,67.0,Neutral,17.39864864864865,71.28378378378379,11.317567567567567,2016-11,592.0
2016-12,90.0,345.0,62.0,Neutral,18.10865191146881,69.41649899396378,12.474849094567404,2016-12,497.0
2017-01,98.0,307.0,48.0,Neutral,21.63355408388521,67.77041942604856,10.596026490066226,2017-01,453.0
2017-02,68.0,265.0,47.0,Neutral,17.894736842105264,69.73684210526315,12.368421052631579,2017-02,380.0
2017-03,62.0,331.0,33.0,Neutral,14.553990610328638,77.69953051643192,7.746478873239436,2017-03,426.0
2017-04,80.0,275.0,36.0,Neutral,20.460358056265985,70.33248081841433,9.207161125319693,2017-04,391.0
2017-05,70.0,299.0,30.0,Neutral,17.543859649122805,74.93734335839599,7.518796992481203,2017-05,399.0
2017-06,67.0,243.0,22.0,Neutral,20.180722891566266,73.19277108433735,6.626506024096386,2017-06,332.0
2017-07,84.0,313.0,37.0,Neutral,19.35483870967742,72.11981566820278,8.525345622119817,2017-07,434.0
2017-08,95.0,236.0,35.0,Neutral,25.956284153005466,64.48087431693989,9.562841530054644,2017-08,366.0
2017-09,81.0,294.0,31.0,Neutral,19.950738916256157,72.41379310344827,7.635467980295567,2017-09,406.0
2017-10,81.0,312.0,26.0,Neutral,19.331742243436754,74.46300715990454,6.205250596658711,2017-10,419.0
2017-11,79.0,254.0,29.0,Neutral,21.823204419889503,70.1657458563536,8.011049723756907,2017-11,362.0
2017-12,56.0,218.0,39.0,Neutral,17.89137380191693,69.6485623003195,12.460063897763577,2017-12,313.0
2018-01,90.0,276.0,51.0,Neutral,21.58273381294964,66.18705035971223,12.23021582733813,2018-01,417.0
2018-02,83.0,267.0,35.0,Neutral,21.558441558441558,69.35064935064935,9.090909090909092,2018-02,385.0
2018-03,65.0,278.0,24.0,Neutral,17.71117166212534,75.74931880108991,6.539509536784741,2018-03,367.0
2018-04,85.0,247.0,32.0,Neutral,23.35164835164835,67.85714285714286,8.791208791208792,2018-04,364.0
2018-05,97.0,260.0,31.0,Neutral,25.0,67.0103092783505,7.989690721649484,2018-05,388.0
2018-06,97.0,271.0,29.0,Neutral,24.43324937027708,68.26196473551637,7.304785894206549,2018-06,397.0
2018-07,95.0,239.0,35.0,Neutral,25.745257452574528,64.76964769647697,9.48509485094851,2018-07,369.0
2018-08,84.0,232.0,27.0,Neutral,24.489795918367346,67.63848396501457,7.871720116618077,2018-08,343.0
2018-09,94.0,263.0,30.0,Neutral,24.289405684754524,67.95865633074936,7.751937984496124,2018-09,387.0
2018-10,116.0,279.0,18.0,Neutral,28.087167070217916,67.55447941888619,4.358353510895883,2018-10,413.0
2018-11,91.0,277.0,27.0,Neutral,23.037974683544306,70.12658227848101,6.8354430379746836,2018-11,395.0
2018-12,110.0,226.0,20.0,Neutral,30.89887640449438,63.48314606741573,5.617977528089887,2018-12,356.0
2019-01,116.0,256.0,29.0,Neutral,28.92768079800499,63.84039900249376,7.231920199501247,2019-01,401.0
2019-02,83.0,221.0,23.0,Neutral,25.382262996941897,67.58409785932722,7.033639143730887,2019-02,327.0
2019-03,86.0,266.0,21.0,Neutral,23.056300268096514,71.31367292225201,5.630026809651475,2019-03,373.0
2019-04,74.0,232.0,34.0,Neutral,21.764705882352942,68.23529411764706,10.0,2019-04,340.0
2019-05,94.0,269.0,25.0,Neutral,24.22680412371134,69.3298969072165,6.443298969072164,2019-05,388.0
2019-06,89.0,267.0,16.0,Neutral,23.9247311827957,71.7741935483871,4.301075268817205,2019-06,372.0
2019-07,109.0,257.0,14.0,Neutral,28.68421052631579,67.63157894736842,3.684210526315789,2019-07,380.0
2019-08,129.0,238.0,20.0,Neutral,33.33333333333333,61.49870801033591,5.167958656330749,2019-08,387.0
2019-09,102.0,280.0,22.0,Neutral,25.247524752475247,69.3069306930693,5.445544554455446,2019-09,404.0
