MonthYear,Negative,Neutral,Positive,MedianSentiment,PercentageNegative,PercentageNeutral,PercentagePositive,Date
2022-03,94,298,35,Neutral,22.01405152224824,69.78922716627635,8.19672131147541,2022-03
2022-04,78,245,26,Neutral,22.349570200573066,70.20057306590259,7.4498567335243555,2022-04
2022-05,105,324,31,Neutral,22.82608695652174,70.43478260869566,6.739130434782608,2022-05
2022-06,113,285,22,Neutral,26.904761904761905,67.85714285714286,5.238095238095238,2022-06
2022-07,111,257,29,Neutral,27.95969773299748,64.73551637279597,7.304785894206549,2022-07
2022-08,118,326,33,Neutral,24.737945492662476,68.34381551362684,6.918238993710692,2022-08
2022-09,118,352,18,Neutral,24.18032786885246,72.1311475409836,3.6885245901639343,2022-09
2022-10,108,301,38,Neutral,24.161073825503358,67.33780760626398,8.501118568232663,2022-10
2022-11,107,278,27,Neutral,25.970873786407765,67.47572815533981,6.553398058252427,2022-11
2022-12,86,252,28,Neutral,23.497267759562842,68.85245901639344,7.650273224043716,2022-12
2023-01,55,179,28,Neutral,20.99236641221374,68.32061068702289,10.687022900763358,2023-01
